,Paper ID,Hypothesis/Proposition #,Hypothesis/Proposition Full Sentence
0,a94amj.txt,h0,hypo 1: plants with commitment human resource systems will have better manufacturing performance than plants with control human resource systems.
1,a94amj.txt,h1,hypo 2: turnover will be higher in control human resource systems than in commitment human resource systems.
2,a94amj.txt,h2,hypo 3: there will be a stronger negative relationship between turnover level and manufacturing perforthis all use subject to https://about.jstor.org/terms arthur mance in commitment human resource systems than in control human resource systems.
3,a94amj.txt,h3,hypo 1: predicts that the presence of a commitment human resource system will be related to significantly higher manufacturing performance than the presence of a control system.
4,a94amj.txt,h4,hypo 3: states that the negative relationship between turnover and manufacturing performance will be higher in commitment human resource systems than in control systems.
5,afglmm10hrm.txt,h0,"guided by previous evidence, we test the following hypothesis: "
6,afglmm10hrm.txt,h1,"hypo 1: increased use of high performance work systems results in increased labor productivity, increased workforce innovation, and decreased voluntary employee turnover."
7,afglmm10hrm.txt,h2,"hypo 2: increased use of diversity/equality management systems results in increased labor productivity, workforce innovation, and decreased voluntary employee turnover, over and above the contribution of high performance work systems."
8,afglmm10hrm.txt,h3,"hypo 1: , which predicted that increased use of hpws would result in increased labor productivity, increased workforce innovation, and decreased voluntary employee turnover."
9,amr.2019.0470.txt,h0,"hypo 1: when substituted for human decision-making, machine learning risks lowering within-organizational diversity in routines ."
10,amr.2019.0470.txt,h1,"hypo 1: when substituted for human decision-making, machine learning risks reducing the extent of background knowledge in organizational routines ."
11,amr.2019.0470.txt,h2,hypo 2: substituting human decision-making with machine learning may intensify the propensity of organizations to emphasize the short run over the long run.
12,amr.2019.0470.txt,h3,hypo 2: substituting human decision-making with machine learning may increase the organizational propensity to overlook interdependencies across routines.
13,amr.2019.0470.txt,h4,hypo 2: substituting human decision-making with machine learning may increase the risk of selecting variants that cause extreme failures.
14,amr.2019.0470.txt,h5,hypo 2: substituting human decision-making with machine learning may reduce the likelihood of selecting variants that lead to extremely successful outcomes.
15,amr.2019.0470.txt,h6,hypo 3: the increase in myopia due to machine learning is likely to be highest at moderate rates and magnitudes of environmental change.
16,amr.2019.0470.txt,h7,"hypo 3: the reduction in routine diversity and background knowledge, and hence the increase in myopia, due to ml is likely to be higher for complex routines than for simpler routines."
17,amr.2019.0470.txt,h8,"hypo 3: the less universal the cause-effect relationships in a routine are, the higher the possibility of machine learning causing and amplifying myopia is."
